stock,volatility
MMM_volatility,1120.6771464446156
AOS_volatility,160.71085075004402
ABT_volatility,205.04725985080736
ABBV_volatility,988.2034735248362
ACN_volatility,3443.704097962197
ADBE_volatility,12221.734065366414
AMD_volatility,1401.0081904209094
AES_volatility,19.28881611814653
AFL_volatility,184.18237249097336
A_volatility,774.2598164278518
APD_volatility,908.3876511445109
ABNB_volatility,549.6493237767853
AKAM_volatility,157.98957941214167
ALB_volatility,5042.778001794475
ARE_volatility,801.4295163981366
ALGN_volatility,23225.673102810422
ALLE_volatility,184.18779678401813
LNT_volatility,18.672986136462924
ALL_volatility,329.4626641596005
GOOGL_volatility,985927.082858221
GOOG_volatility,1000290.0182515378
MO_volatility,17.414926099398876
AMZN_volatility,1881123.8791234721
AMCR_volatility,1.4184287859138598
AEE_volatility,44.3507233384839
AAL_volatility,34.5443253845238
AEP_volatility,48.06265850353826
AXP_volatility,1071.7906498974198
AIG_volatility,142.9567601470275
AMT_volatility,941.0650871284964
AWK_volatility,330.1595242050225
AMP_volatility,7130.456143532045
AME_volatility,709.8112832360721
AMGN_volatility,740.5697032781137
APH_volatility,309.2099344458688
ADI_volatility,896.2158589256671
ANSS_volatility,2876.7681899289128
AON_volatility,2786.5713988842804
APA_volatility,118.56659207761919
AAPL_volatility,4730.376666318414
AMAT_volatility,1793.8833554714045
APTV_volatility,864.2303888894555
ACGL_volatility,338.03763240247827
ADM_volatility,316.5220875561407
ANET_volatility,6792.629585432228
AJG_volatility,2653.5842637512387
AIZ_volatility,572.0146661239789
T_volatility,53.691634798457635
ATO_volatility,78.45984962971617
ADSK_volatility,2173.205329729355
ADP_volatility,1342.7630115804452
AZO_volatility,409630.27587615844
AVB_volatility,777.8768309631662
AVY_volatility,1344.3190144790576
AXON_volatility,4171.076832599776
BKR_volatility,41.17657913365316
BALL_volatility,219.1878541645898
BAC_volatility,41.53026870474765
BK_volatility,44.422319192428645
BBWI_volatility,282.62469269885696
BAX_volatility,352.0433589812963
BDX_volatility,168.325682764977
BRK.B_volatility,3823.5977869225626
BBY_volatility,333.32842573224355
BIO_volatility,18659.762824789705
TECH_volatility,20112.20941157379
BIIB_volatility,1525.3927365673221
BLK_volatility,20222.14054056259
BX_volatility,841.6189128774786
BA_volatility,4303.914478898909
BKNG_volatility,303785.4772584661
BWA_volatility,36.81616319198365
BXP_volatility,747.1426348953131
BSX_volatility,64.69691942165521
BMY_volatility,74.36779971065006
AVGO_volatility,72793.37575047059
BR_volatility,611.712925832154
BRO_volatility,189.33299107658823
BF.B_volatility,53.29610205694003
BLDR_volatility,2348.8441220889986
BG_volatility,539.981318047792
CDNS_volatility,4441.6443470952845
CZR_volatility,527.8835501598471
CPT_volatility,571.2491019560296
CPB_volatility,16.652293471148333
COF_volatility,852.7878745173367
CAH_volatility,369.520900850567
KMX_volatility,524.8148140519367
CCL_volatility,151.51706945559826
CARR_volatility,213.92216858842414
CTLT_volatility,873.4982630198583
CAT_volatility,3461.5618692421235
CBOE_volatility,651.6023588950284
CBRE_volatility,328.49981973454965
CDW_volatility,1515.8868051357297
CE_volatility,609.4724324085349
COR_volatility,1870.8346630709939
CNC_volatility,117.66339628735224
CNP_volatility,16.50063957760559
CF_volatility,556.7749850216915
CHRW_volatility,120.34923269593139
CRL_volatility,6182.905366289216
SCHW_volatility,267.2771699575159
CHTR_volatility,17798.226370959306
CVX_volatility,1001.4960220479339
CMG_volatility,278382.9315361064
CB_volatility,1290.8435114075378
CHD_volatility,100.79720386551922
CI_volatility,2911.6012770055
CINF_volatility,267.6285842874687
CTAS_volatility,12061.932229117323
CSCO_volatility,28.66956528390249
C_volatility,132.96173233114078
CFG_volatility,67.67218972817504
CLX_volatility,625.3133103626203
CME_volatility,376.375752347897
CMS_volatility,15.9777250161959
KO_volatility,28.373411262701275
CTSH_volatility,85.41504094322644
CL_volatility,26.485512424066695
CMCSA_volatility,44.317145752087576
CMA_volatility,295.23796368265266
CAG_volatility,11.70814694403787
COP_volatility,955.2411190776878
ED_volatility,75.04008156777002
STZ_volatility,822.91222554395
CEG_volatility,956.0214681549202
COO_volatility,4472.300464461623
CPRT_volatility,904.10801979653
GLW_volatility,26.675901455932955
CPAY_volatility,1140.2692938205341
CTVA_volatility,164.65627615630703
CSGP_volatility,108784.98403207064
COST_volatility,15860.959494646135
CTRA_volatility,22.695830169819676
CCI_volatility,878.1119239927984
CSX_volatility,574.2987736527703
CMI_volatility,1287.323723030247
CVS_volatility,213.81943527651976
DHR_volatility,2821.486365888161
DRI_volatility,700.8025703704463
DVA_volatility,461.2483406931047
DAY_volatility,339.6140135721937
DECK_volatility,34285.09252267508
DE_volatility,9950.944528124373
DAL_volatility,88.99861599790178
DVN_volatility,358.2878420069125
DXCM_volatility,24629.50351359117
FANG_volatility,1903.4627194261207
DLR_volatility,338.68464431378777
DFS_volatility,546.671079674527
DG_volatility,1601.8815090508565
DLTR_volatility,635.5744747990926
D_volatility,173.98374491762246
DPZ_volatility,5191.400755252581
DOV_volatility,648.1813632204493
DOW_volatility,64.0894468407789
DHI_volatility,860.10414364151
DTE_volatility,122.68180254509983
DUK_volatility,63.04479496957073
DD_volatility,104.50681813507137
EMN_volatility,321.2539402110948
ETN_volatility,3172.9351826536213
EBAY_volatility,119.22600614762861
ECL_volatility,597.433044605096
EIX_volatility,40.843904841085994
